iter	RMSE
485	3.886190675
486	3.883975705
487	3.883435388
488	3.882245575
489	3.879327351
490	3.878585794
491	3.873297903
492	3.869249563
493	3.865943257
494	3.862919762
495	3.86094611
496	3.857212649
497	3.85530818
498	3.851923266
499	3.848174988
500	3.84722289
501	3.844845217
502	3.843128867
503	3.842528737
504	3.839241555
505	3.838718343
506	3.836796492
507	3.836750681
508	3.833271388
509	3.832999656
510	3.831207278
511	3.829170886
512	3.827508265
513	3.822153058
514	3.818887757
515	3.816902556
516	3.816387606
517	3.813878294
518	3.810951031
519	3.808136304
520	3.805576623
521	3.801403465
522	3.797926681
523	3.797168271
524	3.792831463
525	3.788771077
526	3.783636087
527	3.77960719
528	3.779423267
529	3.779275654
530	3.774866754
531	3.774234156
532	3.770936564
533	3.768508852
534	3.767696043
535	3.767432043
536	3.764034768
537	3.763555551
538	3.761624255
539	3.75916054
540	3.754463386
541	3.751785615
542	3.747578545
543	3.745056711
544	3.742114952
545	3.741814595
546	3.74037368
547	3.738329486
548	3.736178055
549	3.734422734
550	3.730151682
551	3.729251912
552	3.726344411
553	3.725682498
554	3.72217802
555	3.720216828
556	3.718706809
557	3.717551892
558	3.712602409
559	3.710590732
560	3.710510518
561	3.709448097
562	3.706386788
563	3.705881153
564	3.704233378
565	3.702977934
566	3.702603673
567	3.701302179
568	3.700819986
569	3.697267912
570	3.694403546
571	3.692093845
572	3.691525474
573	3.686883764
574	3.68573874
575	3.685248153
576	3.683568463
577	3.683028965
578	3.679576409
579	3.676606805
580	3.674184147
581	3.672994243
582	3.671969675
583	3.670047107
584	3.667451324
585	3.665970429
586	3.665739147
587	3.662908121
588	3.659064255
589	3.657852883
590	3.656489291
591	3.654533279
592	3.654076693
593	3.65063107
594	3.648249799
595	3.645213501
596	3.645090086
597	3.641050319
598	3.638311583
599	3.635481486
600	3.633177125
601	3.629744165
602	3.629079956
603	3.628394369
604	3.626997601
605	3.62644072
606	3.623469949
607	3.622082965
608	3.616926679
609	3.615485499
610	3.611922195
611	3.609570077
612	3.607506697
613	3.606498715
614	3.604919626
615	3.601761367
616	3.597136655
617	3.593534964
618	3.588279289
619	3.587709185
620	3.586798952
621	3.582589102
622	3.579525055
623	3.577205307
624	3.574435384
625	3.571863932
626	3.567841762
627	3.566369374
628	3.562123029
629	3.56065765
630	3.557189332
631	3.55488588
632	3.552201704
633	3.548067666
634	3.548035347
635	3.544795837
636	3.543393437
637	3.542332799
638	3.541364309
639	3.537521498
640	3.535807548
641	3.532104349
642	3.529372366
643	3.526594754
644	3.523281131
645	3.522585161
646	3.521639288
647	3.521500155
648	3.521112917
649	3.519159953
650	3.518304973
651	3.518276406
652	3.515141853
653	3.511619747
654	3.509359645
655	3.506547354
656	3.505344011
657	3.504973543
658	3.501822221
659	3.500456169
660	3.500350567
661	3.499982588
662	3.496325516
663	3.494088036
664	3.493943696
665	3.492331508
666	3.488657198
667	3.487431783
668	3.487311609
669	3.484853655
670	3.482099413
671	3.480116542
672	3.477036496
673	3.475312312
674	3.473346941
675	3.473080175
676	3.471073343
677	3.470393857
678	3.467018467
679	3.464875763
680	3.461477803
681	3.459594785
682	3.45816015
683	3.454618899
684	3.452292195
685	3.449613725
686	3.447031156
687	3.444044607
688	3.442950645
689	3.440005625
690	3.437899372
691	3.436780462
692	3.432388222
693	3.430007129
694	3.427942811
695	3.427794833
696	3.424409293
697	3.421687901
698	3.418934493
699	3.415659807
700	3.411955418
701	3.409392806
702	3.408825691
703	3.40841109
704	3.407021473
705	3.404511416
706	3.40249913
707	3.400975806
708	3.398802724
709	3.396805699
710	3.395827141
711	3.393833278
712	3.392744288
713	3.390354639
714	3.387762354
715	3.385157721
716	3.383240943
717	3.381526414
718	3.37740797
719	3.377300669
720	3.374338408
721	3.373714662
722	3.370412638
723	3.369205398
724	3.366556859
725	3.366350736
726	3.364665053
727	3.364307589
728	3.361039136
729	3.358690881
730	3.356958198
731	3.356450203
732	3.354076531
733	3.350331855
734	3.350223499
735	3.347432591
736	3.345563949
737	3.342780312
738	3.341331007
739	3.340611458
740	3.33895914
741	3.334622743
742	3.331418405
743	3.33134623
744	3.330442417
745	3.330334502
746	3.327629544
747	3.326325505
748	3.32418841
749	3.322948677
750	3.319383337
751	3.317001069
752	3.31363211
753	3.312678174
754	3.308866252
755	3.307250445
756	3.306331743
757	3.304866215
758	3.303591968
759	3.301659883
760	3.300507541
761	3.297095525
762	3.295141884
763	3.292520612
764	3.291750647
765	3.290608045
766	3.289203068
767	3.287789762
768	3.286877294
769	3.286172416
770	3.285878769
771	3.284392184
772	3.282445736
773	3.281547039
774	3.279027766
775	3.276577791
776	3.273596713
777	3.272315995
778	3.270721654
779	3.270566689
780	3.267828319
781	3.266255613
782	3.263632223
783	3.263009855
784	3.261034914
785	3.259138256
786	3.257866611
787	3.255820219
788	3.254865029
789	3.250728289
790	3.248997577
791	3.245603462
792	3.243739517
793	3.240781394
794	3.238550272
795	3.237419296
796	3.237307094
797	3.233725771
798	3.232908566
799	3.232469401
800	3.229292364
801	3.228940709
802	3.226579202
803	3.224046265
804	3.224014532
805	3.222279725
806	3.221734265
807	3.220856447
808	3.220492172
809	3.218662282
810	3.215437203
811	3.209938628
812	3.209842614
813	3.208790261
814	3.206331573
815	3.205923198
816	3.205342887
817	3.20375351
818	3.201825346
819	3.199414608
820	3.198903533
821	3.195393004
822	3.193787703
823	3.19106073
824	3.189660536
825	3.189143881
826	3.186979352
827	3.186760771
828	3.186619061
829	3.185034566
830	3.183915771
831	3.183034182
832	3.1808783
833	3.180823914
834	3.179785713
835	3.178512371
836	3.178217539
837	3.17642895
838	3.175231686
839	3.172455565
840	3.169571733
841	3.167632398
842	3.164518598
843	3.164475498
844	3.164401161
845	3.162134053
846	3.158891465
847	3.157724302
848	3.156982852
849	3.156361169
850	3.154082392
851	3.150819193
852	3.148393798
853	3.145840426
854	3.145450044
855	3.141704417
856	3.141667379
857	3.13866865
858	3.136858307
859	3.135364977
860	3.132896531
861	3.13077228
862	3.128305713
863	3.125504521
864	3.125016795
865	3.124189367
866	3.123660591
867	3.121967132
868	3.121083794
869	3.120324274
870	3.1198378
871	3.118020188
872	3.115781251
873	3.113018142
874	3.110481131
875	3.107064544
876	3.105431102
877	3.102272558
878	3.100277313
879	3.098531871
880	3.096100144
881	3.094926436
882	3.094168868
883	3.093348625
884	3.090542246
885	3.088093033
886	3.084856123
887	3.082869523
888	3.081835163
889	3.080803047
890	3.080366445
891	3.078340581
892	3.075503173
893	3.073912413
894	3.072260104
895	3.070403922
896	3.068096773
897	3.067086352
898	3.065291986
899	3.064900745
900	3.064381265
901	3.063586314
902	3.062214224
903	3.061765475
904	3.058989692
905	3.055257675
906	3.055174128
907	3.05514851
908	3.054608985
909	3.053738123
910	3.050770743
911	3.050143793
912	3.049157862
913	3.048272425
914	3.046270495
915	3.045728763
916	3.043956435
917	3.042914973
918	3.039722483
919	3.038746305
920	3.035940066
921	3.034361427
922	3.033008167
923	3.032194128
924	3.02864953
925	3.028173346
926	3.026222738
927	3.025428925
928	3.025370046
929	3.024750303
930	3.023723733
931	3.023303673
932	3.021936014
933	3.019341895
934	3.019263133
935	3.019124742
936	3.017425525
937	3.017338635
938	3.01522406
939	3.014045615
940	3.013989931
941	3.013939566
942	3.013289293
943	3.011034102
944	3.007980859
945	3.007389052
946	3.00703787
947	3.004432584
948	3.000915537
949	2.99920344
950	2.997113469
951	2.996883103
952	2.994799922
953	2.993821351
954	2.993450468
955	2.99177423
956	2.98914706
957	2.987061551
958	2.986339859
959	2.983058706
960	2.982978864
961	2.98135935
962	2.98066579
963	2.979576824
964	2.978931506
965	2.978438008
966	2.976836194
967	2.97613185
968	2.976026785
969	2.973438884
970	2.970968549
971	2.969582385
972	2.96870297
973	2.967520676
974	2.967430339
975	2.966984549
976	2.965223818
977	2.964185053
978	2.961480153
979	2.96009141
980	2.957883971
981	2.957601858
982	2.955889672
983	2.954371214
984	2.954094039
985	2.95186052
986	2.950053153
987	2.949057533
988	2.947776848
989	2.946491543
990	2.946385696
991	2.944197366
992	2.942641151
993	2.94096602
994	2.940719293
995	2.937864169
996	2.936852005
997	2.935118006
998	2.935028249
999	2.934455166
